id,day_of_the_month,days,option,sequence,value,value_amount,payment_id
__export__.account_payment_term_line_70_b4eb1cc6,0,0,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_46_ac18b73a
__export__.account_payment_term_line_71_ac14625b,0,10,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_47_5038ec69
__export__.account_payment_term_line_72_cc8827ca,10,10,of the following month,10,Balance,0,__export__.account_payment_term_48_0c330d14
__export__.account_payment_term_line_73_26d78beb,0,15,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_49_b812f433
__export__.account_payment_term_line_74_32b59c85,15,15,of the following month,10,Balance,0,__export__.account_payment_term_50_6c6b1ad8
__export__.account_payment_term_line_75_e64e477c,0,20,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_51_2f29d678
__export__.account_payment_term_line_76_a5264f59,0,21,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_52_ca977a3d
__export__.account_payment_term_line_77_5df92402,0,30,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_53_9dd93282
__export__.account_payment_term_line_78_72caa589,0,34,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_54_0d1bbba8
__export__.account_payment_term_line_79_ec72df94,0,42,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_55_ac4aa698
__export__.account_payment_term_line_80_5477a314,0,45,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_56_f357bd4d
__export__.account_payment_term_line_81_021ce46c,0,60,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_57_4f8446f6
__export__.account_payment_term_line_82_2d4a40b9,0,0,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_58_50fbda18
__export__.account_payment_term_line_83_6e9465f0,0,0,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_59_7863341a
__export__.account_payment_term_line_85_e467db3e,0,15,day(s) after the invoice date,500,Balance,0,account.account_payment_term_15days
__export__.account_payment_term_line_86_e0119621,0,30,day(s) after the invoice date,500,Balance,0,account.account_payment_term_net
__export__.account_payment_term_line_87_7dc395af,0,45,day(s) after the invoice date,500,Balance,0,account.account_payment_term_45days
__export__.account_payment_term_line_88_6e2e3036,0,60,day(s) after the invoice date,500,Balance,0,account.account_payment_term_2months
